P(topic 1),P(topic 2)
0.997725981,0.002274019
0.998994902,0.001005098
0.003261536,0.996738464
0.998328046,0.001671954
0.997740443,0.002259557
0.997956328,0.002043672
0.997576481,0.002423519
0.998277928,0.001722072
0.998172939,0.001827061
0.998098923,0.001901077
0.998591899,0.001408101
0.998507153,0.001492847
0.998494593,0.001505407
0.998066625,0.001933375
0.002133582,0.997866418
0.998342042,0.001657958
0.998200428,0.001799572
0.997904668,0.002095332
0.998232376,0.001767624
0.998793047,0.001206953
0.997660869,0.002339131
0.998325314,0.001674686
0.9979806,0.0020194
0.997764268,0.002235732
0.003624171,0.996375829
0.998132425,0.001867575
0.998331588,0.001668412
0.998041476,0.001958524
0.998374632,0.001625368
0.997996523,0.002003477
0.998775495,0.001224505
0.998695584,0.001304416
0.27181219,0.72818781
0.998110469,0.001889531
0.998282992,0.001717008
0.998070807,0.001929193
0.998624966,0.001375034
0.998439711,0.001560289
0.997687333,0.002312667
0.997715426,0.002284574
0.998414462,0.001585538
0.998002947,0.001997053
0.997909394,0.002090606
0.99794246,0.00205754
0.997811101,0.002188899
0.9986411,0.0013589
0.997908258,0.002091742
0.002738317,0.997261683
0.001872771,0.998127229
0.997515783,0.002484217
0.9977408,0.0022592
0.001825705,0.998174295
0.002275834,0.997724166
0.001999937,0.998000063
0.997733912,0.002266088
0.998800386,0.001199614
0.998131878,0.001868122
0.001677564,0.998322436
0.00339199,0.99660801
0.002350179,0.997649821
0.002095466,0.997904534
0.001515284,0.998484716
0.002083906,0.997916094
0.002112151,0.997887849
0.00250494,0.99749506
0.002218518,0.997781482
0.001763423,0.998236577
0.002226955,0.997773045
0.998124583,0.001875417
0.001907971,0.998092029
0.001925217,0.998074783
0.001197593,0.998802407
0.002150322,0.997849678
0.997262935,0.002737065
0.002169124,0.997830876
0.002390705,0.997609295
0.997934062,0.002065938
0.994272773,0.005727227
0.997803243,0.002196757
0.000948998,0.999051002
0.001741528,0.998258472
